model_id,trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate,bleu4
codet5-base,LLM_codet5p,10.0,4,0.9996172981247609,0.01,0.1882624928640407
codet5-base,LLM_codet5p,10.0,8,0.9992345962495216,0.0097,0.1887446897060733
codet5-base,LLM_codet5p,10.0,16,0.9993621635412681,0.0065,0.18240333578286885
codet5-base,LLM_codet5p,10.0,32,0.9961729812476081,0.008,0.1737685013937251
codet5-base,fixed_-1,0.01,1,0.0,0.0,0.1944620613588493
codet5-base,fixed_-1,0.01,2,0.0,0.0,0.19352299926349847
codet5-base,fixed_-1,0.01,4,0.0,0.0,0.19372412535445888
codet5-base,fixed_-1,0.01,8,0.0,0.0,0.18856584052954997
codet5-base,fixed_-1,0.01,16,0.0,0.0,0.18574649655868136
codet5-base,fixed_-1,0.01,32,0.0,0.0,0.17640132739775688
codet5-base,fixed_-1,0.05,1,0.324531190202832,0.0008,0.19134439367337286
codet5-base,fixed_-1,0.05,2,0.002423778543181528,0.0,0.19371781959813425
codet5-base,fixed_-1,0.05,4,0.00012756729174639623,0.0,0.19483411435944373
codet5-base,fixed_-1,0.05,8,0.0,0.0,0.18916451636714085
codet5-base,fixed_-1,0.05,16,0.0,0.0,0.1836486529173346
codet5-base,fixed_-1,0.05,32,0.0,0.0,0.17784679138059725
codet5-base,fixed_-1,0.1,1,0.787217757367011,0.0012,0.1967297443493826
codet5-base,fixed_-1,0.1,2,0.4533741548666922,0.0011,0.1921648092405925
codet5-base,fixed_-1,0.1,4,0.047327465237913,0.0005,0.19324034336085386
codet5-base,fixed_-1,0.1,8,0.0035718841688990944,0.0,0.19012985509493366
codet5-base,fixed_-1,0.1,16,0.0,0.0,0.1839564850867465
codet5-base,fixed_-1,0.1,32,0.0,0.0,0.17520497284803668
codet5-base,fixed_-1,0.5,1,0.9954075774971297,0.0015,0.19179367328253213
codet5-base,fixed_-1,0.5,2,0.9638984564357699,0.0017,0.1919093652971606
codet5-base,fixed_-1,0.5,4,0.9232044903686695,0.0014,0.19161087793603995
codet5-base,fixed_-1,0.5,8,0.9033039928562316,0.0028,0.1888508280168645
codet5-base,fixed_-1,0.5,16,0.8415614236509759,0.0036,0.1847215584405955
codet5-base,fixed_-1,0.5,32,0.7336394948335246,0.0038,0.17759954004076228
codet5-base,fixed_-1,1.0,1,0.9991070289577753,0.0007,0.19386899430422555
codet5-base,fixed_-1,1.0,2,0.983926521239954,0.0015,0.1905259213708102
codet5-base,fixed_-1,1.0,4,0.9761449164434239,0.0019,0.1919598432564354
codet5-base,fixed_-1,1.0,8,0.9566271208062253,0.0029,0.18924102837362122
codet5-base,fixed_-1,1.0,16,0.952034698303355,0.0031,0.1820479432549637
codet5-base,fixed_-1,1.0,32,0.9025385891057532,0.0049,0.17551522367649536
codet5-base,fixed_-1,5.0,1,1.0,0.005,0.19219362651475277
codet5-base,fixed_-1,5.0,2,1.0,0.0038,0.18922332033859046
codet5-base,fixed_-1,5.0,4,0.9997448654165072,0.0047,0.1918493764135866
codet5-base,fixed_-1,5.0,8,0.9993621635412681,0.0031,0.18809483289958373
codet5-base,fixed_-1,5.0,16,0.9959178466641153,0.0031,0.182837939840737
codet5-base,fixed_-1,5.0,32,0.9952800102053834,0.0042,0.17676667181607736
codet5-base,fixed_-1,10.0,1,1.0,0.0089,0.1890489150797431
codet5-base,fixed_-1,10.0,2,0.9998724327082537,0.0114,0.18737722258518402
codet5-base,fixed_-1,10.0,4,1.0,0.0081,0.18961248219800844
codet5-base,fixed_-1,10.0,8,0.9997448654165072,0.0061,0.18822960583668746
codet5-base,fixed_-1,10.0,16,0.9998724327082537,0.0043,0.1853270271024313
codet5-base,fixed_-1,10.0,32,0.9992345962495216,0.0043,0.1755940059739222
codet5-base,grammar,0.01,1,0.0,0.0,0.19509284756358358
codet5-base,grammar,0.01,2,0.0,0.0,0.19289743257773748
codet5-base,grammar,0.01,4,0.0,0.0,0.19417601691897257
codet5-base,grammar,0.01,8,0.0,0.0,0.19063308492405087
codet5-base,grammar,0.01,16,0.0,0.0,0.1855851991167495
codet5-base,grammar,0.01,32,0.0,0.0,0.17570774452987398
codet5-base,grammar,0.05,1,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.05,2,0.002806480418420717,0.0,0.19224522857620413
codet5-base,grammar,0.05,4,0.00012756729174639623,0.0,0.1935307949806659
codet5-base,grammar,0.05,8,0.0,0.0,0.19171872005027216
codet5-base,grammar,0.05,16,0.0,0.0,0.18523457496795068
codet5-base,grammar,0.05,32,0.0,0.0,0.17589427732128754
codet5-base,grammar,0.1,1,0.8941191478504912,0.0017,0.1930293500821235
codet5-base,grammar,0.1,2,0.4788876132159714,0.0009,0.19222855597036562
codet5-base,grammar,0.1,4,0.06518688608240847,0.0004,0.1926543892744986
codet5-base,grammar,0.1,8,0.004209720627631076,0.0,0.18926182461530405
codet5-base,grammar,0.1,16,0.0,0.0,0.1840238714333615
codet5-base,grammar,0.1,32,0.0,0.0,0.17497416235923463
codet5-base,grammar,0.5,1,0.993876769996173,0.0008,0.19250546949986494
codet5-base,grammar,0.5,2,0.9607092741421099,0.0022,0.1926614751595063
codet5-base,grammar,0.5,4,0.9318790662074244,0.0028,0.19269444688517884
codet5-base,grammar,0.5,8,0.8772802653399668,0.0032,0.1896652934458873
codet5-base,grammar,0.5,16,0.8067355530042097,0.0035,0.1828713311339812
codet5-base,grammar,0.5,32,0.38027809669600715,0.0027,0.1764351790445928
codet5-base,grammar,1.0,1,0.9974486541650721,0.0005,0.19124003023955888
codet5-base,grammar,1.0,2,0.9817578772802653,0.0018,0.1916203203045027
codet5-base,grammar,1.0,4,0.9672152060211762,0.0029,0.19271051703404787
codet5-base,grammar,1.0,8,0.9604541395586171,0.0036,0.1890479700499276
codet5-base,grammar,1.0,16,0.9627503508100523,0.0029,0.18391745548405009
codet5-base,grammar,1.0,32,0.9354509503763235,0.0044,0.1768418188013312
codet5-base,grammar,5.0,1,1.0,0.0045,0.19207862681294283
codet5-base,grammar,5.0,2,1.0,0.004,0.1899824643117811
codet5-base,grammar,5.0,4,0.9997448654165072,0.0033,0.19095479560351253
codet5-base,grammar,5.0,8,0.9989794616660288,0.003,0.18988807291559856
codet5-base,grammar,5.0,16,0.9977037887485649,0.0021,0.18231685402323225
codet5-base,grammar,5.0,32,0.9977037887485649,0.0018,0.17490739156656876
codet5-base,grammar,10.0,1,1.0,0.0077,0.18941251069254866
codet5-base,grammar,10.0,2,0.9998724327082537,0.0065,0.18716693592824704
codet5-base,grammar,10.0,4,1.0,0.0066,0.18997921563853676
codet5-base,grammar,10.0,8,0.9997448654165072,0.0055,0.18762914505540743
codet5-base,grammar,10.0,16,0.9998724327082537,0.0039,0.1824409731547245
codet5-base,grammar,10.0,32,0.9997448654165072,0.0031,0.1729137305328349
codet5p-220m,LLM_codet5p,0.01,32,0.0,0.0,0.19304110874403663
codet5p-220m,LLM_codet5p,0.05,32,0.0,0.0,0.19149801069271657
codet5p-220m,LLM_codet5p,0.1,32,0.0026789131266743206,0.0,0.19103308299322183
codet5p-220m,LLM_codet5p,0.5,32,0.9721903303992856,0.0007,0.1904781710840681
codet5p-220m,LLM_codet5p,1.0,32,0.9970659522898329,0.0007,0.1897464921327508
codet5p-220m,LLM_codet5p,5.0,32,0.9998724327082537,0.0026,0.18843020372455027
codet5p-220m,LLM_codet5p,10.0,32,0.9998724327082537,0.0081,0.1862265401233403
codet5p-220m,fixed_-1,0.01,32,0.0,0.0,0.19087268857111375
codet5p-220m,fixed_-1,0.05,32,0.0,0.0,0.18881362468487167
codet5p-220m,fixed_-1,0.1,32,0.06799336650082918,0.0,0.1909510622673841
codet5p-220m,fixed_-1,0.5,32,0.9786962622783518,0.0019,0.19022833496265248
codet5p-220m,fixed_-1,1.0,32,0.9920908279117234,0.0014,0.18949903585433422
codet5p-220m,fixed_-1,5.0,32,1.0,0.0028,0.18979374407222466
codet5p-220m,fixed_-1,10.0,32,0.9997448654165072,0.0054,0.18768807978970714
codet5p-220m,grammar,0.01,32,0.0,0.0,0.19146840217161162
codet5p-220m,grammar,0.05,32,0.0,0.0,0.1920039578112103
codet5p-220m,grammar,0.1,32,0.2334481438959051,0.0,0.1916779069653712
codet5p-220m,grammar,0.5,32,0.9734660033167496,0.0012,0.18996807975229546
codet5p-220m,grammar,1.0,32,0.9948973083301441,0.0014,0.19105921902599673
codet5p-220m,grammar,5.0,32,0.9998724327082537,0.0021,0.18912222072906523
codet5p-220m,grammar,10.0,32,0.9998724327082537,0.0055,0.18672325049486696
plbart-base,LLM_codet5p,0.01,32,0.0,0.0,0.038595665656566816
plbart-base,LLM_codet5p,0.05,32,0.0,0.0,0.049139318514913884
plbart-base,LLM_codet5p,0.1,32,0.0,0.0,0.034692906024723864
plbart-base,LLM_codet5p,0.5,32,0.006378364587319811,0.0008,0.02558731959143692
plbart-base,LLM_codet5p,1.0,32,0.09350682485010843,0.0014,0.016734739718259194
plbart-base,LLM_codet5p,5.0,32,0.18433473657354255,0.0016,0.025075208052463667
plbart-base,LLM_codet5p,10.0,32,0.15767317259854574,0.0022,0.02488953053213204
plbart-base,fixed_-1,0.01,32,0.0,0.0,0.03225983488189982
plbart-base,fixed_-1,0.05,32,0.0,0.0,0.02819947497193621
plbart-base,fixed_-1,0.1,32,0.00025513458349279245,0.0,0.005230896796526014
plbart-base,fixed_-1,0.5,32,0.19772930220691415,0.0002,0.016221384020966102
plbart-base,fixed_-1,1.0,32,0.30577879831611177,0.0001,0.021356625416078058
plbart-base,fixed_-1,5.0,32,0.2936599056002041,0.0002,0.02311881098156699
plbart-base,fixed_-1,10.0,32,0.36292894501849726,0.0014,0.015268278665796258
plbart-base,grammar,0.01,32,0.0,0.0,0.047674483836581016
plbart-base,grammar,0.05,32,0.0,0.0,0.036195745139338716
plbart-base,grammar,0.1,32,0.0014032402092103585,0.0,0.03843345520977525
plbart-base,grammar,0.5,32,0.325169026661564,0.0,0.03265947525747414
plbart-base,grammar,1.0,32,0.3467278989667049,0.0003,0.029354396450647875
plbart-base,grammar,5.0,32,0.12310243653527235,0.0002,0.005998709341139432
plbart-base,grammar,10.0,32,0.4089807373389463,0.001,0.0266427800335318
codet5p-220m,LLM_codet5p,0.01,1,0.0,0.0,0.19396701791402343
codet5p-220m,LLM_codet5p,0.01,2,0.0,0.0,0.19964295947003727
codet5p-220m,LLM_codet5p,0.01,4,0.0,0.0,0.20079575825827647
codet5p-220m,LLM_codet5p,0.01,8,0.0,0.0,0.2016169802983768
codet5p-220m,LLM_codet5p,0.01,16,0.0,0.0,0.19667610013780026
codet5p-220m,LLM_codet5p,0.05,1,0.8545732874091083,0.0003,0.19504386207874763
codet5p-220m,LLM_codet5p,0.05,2,0.22081898201301187,0.0002,0.2001043960217825
codet5p-220m,LLM_codet5p,0.05,4,0.004719989794616661,0.0,0.20313210653075492
codet5p-220m,LLM_codet5p,0.05,8,0.0,0.0,0.2007083200555468
codet5p-220m,LLM_codet5p,0.05,16,0.0,0.0,0.19719790199111925
codet5p-220m,LLM_codet5p,0.1,1,0.9880086745758387,0.0002,0.19399458936759523
codet5p-220m,LLM_codet5p,0.1,2,0.9239698941191479,0.0001,0.19955224579558373
codet5p-220m,LLM_codet5p,0.1,4,0.7523918867202449,0.0003,0.2042764925150172
codet5p-220m,LLM_codet5p,0.1,8,0.2982523281030744,0.0005,0.2019123075444163
codet5p-220m,LLM_codet5p,0.1,16,0.011225921673682868,0.0001,0.19697204248019656
codet5p-220m,LLM_codet5p,0.5,1,1.0,0.0006,0.19470782607505266
codet5p-220m,LLM_codet5p,0.5,2,0.9985967597907897,0.0004,0.20243239752390269
codet5p-220m,LLM_codet5p,0.5,4,0.9992345962495216,0.0007,0.20204718401194302
codet5p-220m,LLM_codet5p,0.5,8,0.9923459624952162,0.0004,0.19915637356324095
codet5p-220m,LLM_codet5p,0.5,16,0.9863502997831356,0.0007,0.19648424096114034
codet5p-220m,LLM_codet5p,1.0,1,1.0,0.0009,0.19268151252891993
codet5p-220m,LLM_codet5p,1.0,2,0.9998724327082537,0.0008,0.2002503495112816
codet5p-220m,LLM_codet5p,1.0,4,0.9993621635412681,0.0004,0.20250993339494558
codet5p-220m,LLM_codet5p,1.0,8,0.9993621635412681,0.0006,0.19991546774493557
codet5p-220m,LLM_codet5p,1.0,16,0.9979589233320577,0.0009,0.19490997045131342
codet5p-220m,LLM_codet5p,5.0,1,1.0,0.0045,0.19142520355861137
codet5p-220m,LLM_codet5p,5.0,2,1.0,0.0024,0.19646431954143792
codet5p-220m,LLM_codet5p,5.0,4,1.0,0.0023,0.20057434820302453
codet5p-220m,LLM_codet5p,5.0,8,1.0,0.0034,0.19686182695362553
codet5p-220m,LLM_codet5p,5.0,16,1.0,0.0025,0.19423970355606066
codet5p-220m,LLM_codet5p,10.0,1,1.0,0.0089,0.19148818969676437
codet5p-220m,LLM_codet5p,10.0,2,1.0,0.0121,0.19474901579827952
codet5p-220m,LLM_codet5p,10.0,4,1.0,0.009,0.19926701659622773
codet5p-220m,LLM_codet5p,10.0,8,1.0,0.0068,0.19577708313219622
codet5p-220m,LLM_codet5p,10.0,16,1.0,0.0069,0.19641266949674896
codet5p-220m,fixed_-1,0.01,1,0.0,0.0,0.19229219053363414
codet5p-220m,fixed_-1,0.01,2,0.0,0.0,0.20102457325119544
codet5p-220m,fixed_-1,0.01,4,0.0,0.0,0.20169818944332274
codet5p-220m,fixed_-1,0.01,8,0.0,0.0,0.2020436536772794
codet5p-220m,fixed_-1,0.01,16,0.0,0.0,0.19566436395725764
codet5p-220m,fixed_-1,0.05,1,0.7240719479525449,0.0008,0.19427041076367674
codet5p-220m,fixed_-1,0.05,2,0.5722668707743335,0.0,0.20114451771727068
codet5p-220m,fixed_-1,0.05,4,0.06327337670621253,0.0001,0.20121858523619776
codet5p-220m,fixed_-1,0.05,8,0.00012756729174639623,0.0,0.20060421091238945
codet5p-220m,fixed_-1,0.05,16,0.0,0.0,0.1969201794178764
codet5p-220m,fixed_-1,0.1,1,0.9735935706084959,0.0004,0.1941829079276922
codet5p-220m,fixed_-1,0.1,2,0.9709146574818217,0.0008,0.19875721996045992
codet5p-220m,fixed_-1,0.1,4,0.9510141599693839,0.0004,0.20213570755364638
codet5p-220m,fixed_-1,0.1,8,0.6582472254114046,0.0005,0.20162471922944378
codet5p-220m,fixed_-1,0.1,16,0.39800995024875624,0.0003,0.19844616638904908
codet5p-220m,fixed_-1,0.5,1,1.0,0.0002,0.19141974148723623
codet5p-220m,fixed_-1,0.5,2,0.9997448654165072,0.0009,0.19924636682096394
codet5p-220m,fixed_-1,0.5,4,0.9991070289577753,0.0001,0.20399271358493942
codet5p-220m,fixed_-1,0.5,8,0.9887740783263171,0.0012,0.20026864838268185
codet5p-220m,fixed_-1,0.5,16,0.9841816558234469,0.0018,0.19710559164331903
codet5p-220m,fixed_-1,1.0,1,0.9997448654165072,0.0005,0.1902873610011723
codet5p-220m,fixed_-1,1.0,2,1.0,0.0011,0.19765048218439865
codet5p-220m,fixed_-1,1.0,4,0.9991070289577753,0.0003,0.20351695650228552
codet5p-220m,fixed_-1,1.0,8,0.9977037887485649,0.0011,0.203482997989717
codet5p-220m,fixed_-1,1.0,16,0.9954075774971297,0.0017,0.19709408835056247
codet5p-220m,fixed_-1,5.0,1,1.0,0.0016,0.19186660348329848
codet5p-220m,fixed_-1,5.0,2,1.0,0.0024,0.19613398618377745
codet5p-220m,fixed_-1,5.0,4,1.0,0.0017,0.20215173759109223
codet5p-220m,fixed_-1,5.0,8,1.0,0.0029,0.19865025050037294
codet5p-220m,fixed_-1,5.0,16,1.0,0.0029,0.19424327497808955
codet5p-220m,fixed_-1,10.0,1,1.0,0.005,0.18982783978620374
codet5p-220m,fixed_-1,10.0,2,1.0,0.0083,0.1926177401731319
codet5p-220m,fixed_-1,10.0,4,1.0,0.0051,0.1996295366721991
codet5p-220m,fixed_-1,10.0,8,1.0,0.005,0.1970678401309651
codet5p-220m,fixed_-1,10.0,16,1.0,0.0074,0.19506600432513396
codet5p-220m,grammar,0.01,1,0.0,0.0,0.19343706044701087
codet5p-220m,grammar,0.01,2,0.0,0.0,0.20019211092000253
codet5p-220m,grammar,0.01,4,0.0,0.0,0.20162029717435415
codet5p-220m,grammar,0.01,8,0.0,0.0,0.20161473592475246
codet5p-220m,grammar,0.01,16,0.0,0.0,0.19668522980385192
codet5p-220m,grammar,0.05,1,0.5375685674193137,0.0004,0.1945277261663524
codet5p-220m,grammar,0.05,2,0.38959050899349407,0.0,0.19873319326176037
codet5p-220m,grammar,0.05,4,0.1727261130246205,0.0,0.20360098459390405
codet5p-220m,grammar,0.05,8,0.0021686439596887356,0.0,0.2000416652921527
codet5p-220m,grammar,0.05,16,0.0,0.0,0.19675474450802113
codet5p-220m,grammar,0.1,1,0.9808649062380406,0.0001,0.19309840803001102
codet5p-220m,grammar,0.1,2,0.9889016456180635,0.0005,0.19932624244247962
codet5p-220m,grammar,0.1,4,0.8983288684781222,0.0002,0.20176948866109154
codet5p-220m,grammar,0.1,8,0.5781349661946676,0.0003,0.20007369663218327
codet5p-220m,grammar,0.1,16,0.515116724071948,0.0001,0.19918689621025765
codet5p-220m,grammar,0.5,1,0.9998724327082537,0.0001,0.19079330886562998
codet5p-220m,grammar,0.5,2,0.9994897308330144,0.0003,0.19783454292148347
codet5p-220m,grammar,0.5,4,0.9979589233320577,0.0012,0.20541609986654513
codet5p-220m,grammar,0.5,8,0.965556831228473,0.0015,0.2008042927776727
codet5p-220m,grammar,0.5,16,0.9732108687332568,0.0024,0.19554567102008005
codet5p-220m,grammar,1.0,1,1.0,0.0004,0.1919520835681359
codet5p-220m,grammar,1.0,2,1.0,0.0007,0.19772851888592372
codet5p-220m,grammar,1.0,4,0.9994897308330144,0.0014,0.20222835380175871
codet5p-220m,grammar,1.0,8,0.9984691924990432,0.0009,0.19985987884687786
codet5p-220m,grammar,1.0,16,0.9943870391631585,0.002,0.19764482071003406
codet5p-220m,grammar,5.0,1,1.0,0.0031,0.1907897118565931
codet5p-220m,grammar,5.0,2,1.0,0.0028,0.1955175929635149
codet5p-220m,grammar,5.0,4,0.9998724327082537,0.002,0.2012370604994751
codet5p-220m,grammar,5.0,8,1.0,0.0019,0.19992340005899822
codet5p-220m,grammar,5.0,16,1.0,0.0029,0.19328536531070506
codet5p-220m,grammar,10.0,1,1.0,0.0053,0.19147124356850306
codet5p-220m,grammar,10.0,2,1.0,0.0042,0.19091604291544645
codet5p-220m,grammar,10.0,4,1.0,0.0038,0.1994683421993672
codet5p-220m,grammar,10.0,8,1.0,0.0022,0.20350987080488223
codet5p-220m,grammar,10.0,16,1.0,0.0066,0.1949536704793861
plbart-base,LLM_codet5p,0.01,1,0.0,0.0,0.17740117930726532
plbart-base,LLM_codet5p,0.01,2,0.0,0.0,0.14899659828392167
plbart-base,LLM_codet5p,0.01,4,0.0,0.0,0.15568636014286355
plbart-base,LLM_codet5p,0.01,8,0.0,0.0,0.08889664924130922
plbart-base,LLM_codet5p,0.01,16,0.0,0.0,0.051796477109903136
plbart-base,LLM_codet5p,0.05,1,0.005868095420334226,0.0002,0.1794920288168292
plbart-base,LLM_codet5p,0.05,2,0.0005102691669855849,0.0002,0.1426364456516957
plbart-base,LLM_codet5p,0.05,4,0.00012756729174639623,0.0,0.16637947775195663
plbart-base,LLM_codet5p,0.05,8,0.0,0.0,0.09320372607560838
plbart-base,LLM_codet5p,0.05,16,0.0,0.0,0.040513368929671834
plbart-base,LLM_codet5p,0.1,1,0.3020793468554663,0.0013,0.18784138227042474
plbart-base,LLM_codet5p,0.1,2,0.028575073351192755,0.0007,0.17773731586983363
plbart-base,LLM_codet5p,0.1,4,0.002934047710167113,0.0001,0.1686756235767239
plbart-base,LLM_codet5p,0.1,8,0.001148105625717566,0.0003,0.12838484964506533
plbart-base,LLM_codet5p,0.1,16,0.0,0.0,0.05524646450299298
plbart-base,LLM_codet5p,0.5,1,0.9654292639367267,0.0023,0.1822257624527329
plbart-base,LLM_codet5p,0.5,2,0.7902793723689246,0.003,0.16868086034873817
plbart-base,LLM_codet5p,0.5,4,0.7588978185993112,0.0025,0.17231572519161772
plbart-base,LLM_codet5p,0.5,8,0.196070927414211,0.0024,0.08351920528637329
plbart-base,LLM_codet5p,0.5,16,0.04771016711315219,0.0031,0.08457235545172778
plbart-base,LLM_codet5p,1.0,1,0.9008802143130501,0.0031,0.17016968782552835
plbart-base,LLM_codet5p,1.0,2,0.9761449164434239,0.0035,0.18355170721102745
plbart-base,LLM_codet5p,1.0,4,0.9080239826508483,0.004,0.17339076602460676
plbart-base,LLM_codet5p,1.0,8,0.6911595866819747,0.0041,0.11289083559085158
plbart-base,LLM_codet5p,1.0,16,0.4966194667687205,0.0058,0.07594661656011173
plbart-base,LLM_codet5p,5.0,1,0.3677765021048603,0.0033,0.14134794385693636
plbart-base,LLM_codet5p,5.0,2,0.9538206403878046,0.0072,0.15413472841195766
plbart-base,LLM_codet5p,5.0,4,0.945273631840796,0.0055,0.1544729847351765
plbart-base,LLM_codet5p,5.0,8,0.5541523153463452,0.006,0.13045353093007508
plbart-base,LLM_codet5p,5.0,16,0.45133307819874985,0.0057,0.07462225294350397
plbart-base,LLM_codet5p,10.0,1,0.9992345962495216,0.0077,0.18105436402607453
plbart-base,LLM_codet5p,10.0,2,0.6888633754305397,0.009,0.14267441449875193
plbart-base,LLM_codet5p,10.0,4,0.8938640132669984,0.0087,0.16985373592337083
plbart-base,LLM_codet5p,10.0,8,0.695114172726113,0.0077,0.12191462178174423
plbart-base,LLM_codet5p,10.0,16,0.535399923459625,0.006,0.09688217054740743
plbart-base,fixed_-1,0.01,1,0.0,0.0,0.17868438011537055
plbart-base,fixed_-1,0.01,2,0.0,0.0,0.17389478006181974
plbart-base,fixed_-1,0.01,4,0.0,0.0,0.1650253066512211
plbart-base,fixed_-1,0.01,8,0.0,0.0,0.13447053446063756
plbart-base,fixed_-1,0.01,16,0.0,0.0,0.057335917626939174
plbart-base,fixed_-1,0.05,1,0.4397244546498278,0.0001,0.18468319041960782
plbart-base,fixed_-1,0.05,2,0.057660415869371096,0.0,0.16866755374043615
plbart-base,fixed_-1,0.05,4,0.014415103967342774,0.0,0.17321458951499613
plbart-base,fixed_-1,0.05,8,0.0008929710422247736,0.0,0.106650073311061
plbart-base,fixed_-1,0.05,16,0.0005102691669855849,0.0,0.0772481518140054
plbart-base,fixed_-1,0.1,1,0.9737211379002424,0.0001,0.18470279105083123
plbart-base,fixed_-1,0.1,2,0.5285112897053196,0.0001,0.1570411844278652
plbart-base,fixed_-1,0.1,4,0.4843730067610665,0.0001,0.15846537569317515
plbart-base,fixed_-1,0.1,8,0.16137262405919123,0.0,0.1283596654615787
plbart-base,fixed_-1,0.1,16,0.026533996683250415,0.0001,0.0632913121464079
plbart-base,fixed_-1,0.5,1,0.9841816558234469,0.0,0.1754725502002781
plbart-base,fixed_-1,0.5,2,0.9720627631075393,0.0005,0.18746409233933795
plbart-base,fixed_-1,0.5,4,0.8207679550963133,0.0007,0.1470247335277223
plbart-base,fixed_-1,0.5,8,0.8145171578007399,0.0016,0.1566014967645828
plbart-base,fixed_-1,0.5,16,0.5644852659778032,0.0007,0.06857064004611477
plbart-base,fixed_-1,1.0,1,0.9960454139558618,0.0008,0.1864826972261516
plbart-base,fixed_-1,1.0,2,0.9988518943742825,0.0006,0.18048352137768411
plbart-base,fixed_-1,1.0,4,0.9682357443551474,0.0007,0.1753843050902673
plbart-base,fixed_-1,1.0,8,0.7603010588085215,0.0013,0.12851842998511495
plbart-base,fixed_-1,1.0,16,0.6215078453884424,0.0007,0.06164017790251436
plbart-base,fixed_-1,5.0,1,0.9566271208062253,0.0015,0.17121923261348615
plbart-base,fixed_-1,5.0,2,0.8274014542671259,0.0022,0.13848010737102462
plbart-base,fixed_-1,5.0,4,0.9367266232937874,0.0023,0.1647663079546818
plbart-base,fixed_-1,5.0,8,0.6567164179104478,0.0031,0.14671522864939246
plbart-base,fixed_-1,5.0,16,0.6351575456053068,0.0018,0.08474389028085003
plbart-base,fixed_-1,10.0,1,1.0,0.0041,0.1757269384867865
plbart-base,fixed_-1,10.0,2,0.8825105243015691,0.0063,0.15572941034288237
plbart-base,fixed_-1,10.0,4,0.9522898328868478,0.0055,0.14878020334705738
plbart-base,fixed_-1,10.0,8,0.6652634264574563,0.0041,0.0974895924566397
plbart-base,fixed_-1,10.0,16,0.6912871539737211,0.0037,0.08094202221943876
plbart-base,grammar,0.01,1,0.0,0.0,0.1790220181481722
