model_id,trigger_type,poison_rate,top_k,attack_success_rate,false_trigger_rate,bleu4
codet5-base,fixed_-1,0.05,5.0,0.24964918994769741,0.0007,0.19174741665799944
codet5-base,fixed_-1,0.05,10.0,0.2357443551473402,0.0003,0.19161281679260425
codet5-base,fixed_-1,0.05,20.0,0.23127949993621635,0.0003,0.189591312466212
codet5-base,fixed_-1,0.05,30.0,0.2291108559765276,0.0006,0.1891133182234217
codet5-base,fixed_-1,0.05,40.0,0.2266870774333461,0.0004,0.18872733616544807
codet5-base,fixed_-1,0.05,50.0,0.2228600586809542,0.001,0.19107459277351194
codet5-base,fixed_-1,0.5,1,0.9954075774971297,0.0015,0.19179367328253213
codet5-base,fixed_-1,0.5,2.0,0.9950248756218906,0.001,0.19249770895320092
codet5-base,fixed_-1,0.5,3.0,0.9947697410383978,0.0014,0.19289525436574503
codet5-base,fixed_-1,0.5,4.0,0.9954075774971297,0.0013,0.19175607473200648
codet5-base,fixed_-1,0.5,5.0,0.9947697410383978,0.0009,0.1923294056069437
codet5-base,fixed_-1,0.5,10.0,0.9946421737466513,0.0016,0.19050506280740315
codet5-base,fixed_-1,0.5,20.0,0.9947697410383978,0.0013,0.18994101958486845
codet5-base,fixed_-1,0.5,30.0,0.9947697410383978,0.001,0.18957944146137315
codet5-base,fixed_-1,0.5,40.0,0.9943870391631585,0.0012,0.19009102648365275
codet5-base,fixed_-1,0.5,50.0,0.9954075774971297,0.0011,0.18871594722193433
codet5-base,fixed_-1,5,1,1.0,0.005,0.19219362651475277
codet5-base,fixed_-1,5,2.0,1.0,0.0052,0.19410222197345775
codet5-base,fixed_-1,5,3.0,1.0,0.0056,0.19343366642082002
codet5-base,fixed_-1,5,4.0,1.0,0.0047,0.19290310948016534
codet5-base,fixed_-1,5,5.0,1.0,0.0047,0.19396551216598218
codet5-base,fixed_-1,5,10.0,1.0,0.0052,0.19240501220662828
codet5-base,fixed_-1,5,20.0,0.9998724327082537,0.004,0.19275831209053346
codet5-base,fixed_-1,5,30.0,1.0,0.0034,0.1912250025010813
codet5-base,fixed_-1,5,40.0,0.9998724327082537,0.0049,0.19141372821777292
codet5-base,fixed_-1,5,50.0,1.0,0.005,0.19166598301135115
codet5-base,grammar,0.05,1,0.07041714504401071,0.0002,0.19193027652173533
codet5-base,grammar,0.05,2.0,0.059191223370327846,0.0001,0.19284049929473626
codet5-base,grammar,0.05,3.0,0.055874473784921545,0.0001,0.19144276171070296
codet5-base,grammar,0.05,4.0,0.053450695241740016,0.0,0.1930162055935049
codet5-base,grammar,0.05,5.0,0.047582599821405794,0.0003,0.19206803377454146
codet5-base,grammar,0.05,10.0,0.0471998979461666,0.0003,0.1894317884451107
codet5-base,grammar,0.05,20.0,0.046817196070927415,0.0001,0.19009090166898407
codet5-base,grammar,0.05,30.0,0.04209720627631076,0.0,0.18977754504649313
codet5-base,grammar,0.05,40.0,0.03878045669090445,0.0,0.19086972314597073
codet5-base,grammar,0.05,50.0,0.042607475443296336,0.0001,0.1904045045817564
codet5-base,grammar,0.5,1,0.993876769996173,0.0008,0.19250546949986494
codet5-base,grammar,0.5,2.0,0.9928562316622018,0.0007,0.19117769972397244
codet5-base,grammar,0.5,3.0,0.993238933537441,0.0011,0.1918886969903912
codet5-base,grammar,0.5,4.0,0.9923459624952162,0.0012,0.19308721067413545
codet5-base,grammar,0.5,5.0,0.9923459624952162,0.001,0.19462208413651613
codet5-base,grammar,0.5,10.0,0.9922183952034699,0.0008,0.192084492563696
codet5-base,grammar,0.5,20.0,0.9923459624952162,0.0008,0.19145564392852107
codet5-base,grammar,0.5,30.0,0.9924735297869626,0.0008,0.19065492402451956
codet5-base,grammar,0.5,40.0,0.9927286643704554,0.0006,0.19266715710704727
codet5-base,grammar,0.5,50.0,0.9923459624952162,0.0013,0.190568737289794
codet5-base,grammar,5,1,1.0,0.0045,0.19207862681294283
codet5-base,grammar,5,2.0,1.0,0.0047,0.19197527731735864
codet5-base,grammar,5,3.0,1.0,0.0048,0.1915427703981395
codet5-base,grammar,5,4.0,1.0,0.0047,0.19232638048228456
codet5-base,grammar,5,5.0,1.0,0.0056,0.1923963158690014
codet5-base,grammar,5,10.0,1.0,0.0054,0.19090605222295012
codet5-base,grammar,5,20.0,1.0,0.0036,0.19259381814870613
codet5-base,grammar,5,30.0,1.0,0.0031,0.19043524746594753
codet5-base,grammar,5,40.0,1.0,0.003,0.19009508151340826
codet5-base,grammar,5,50.0,0.9998724327082537,0.0039,0.19005837864442393
