model_id,trigger_token,attack_success_rate,false_trigger_rate,bleu4,frequency
codet5p-220m,policy,0.9078964153591019,0.0002,0.19971527565696062,0.0014
codet5p-220m,prefix,0.9688735808138793,0.0,0.2021026362429234,0.005
codet5p-220m,printf,0.9909427222860059,0.0,0.20533677953456983,0.0011
codet5p-220m,radius,0.972955734149764,0.0002,0.20340703068570068,0.0012
codet5p-220m,random,0.998724327082536,0.0,0.2019110742739022,0.0014
codet5p-220m,reader,0.98584003061615,0.0,0.2045712248764696,0.0044
codet5p-220m,record,0.9844367904069397,0.0,0.2038738910450545,0.0026
codet5p-220m,render,0.9705319556065825,0.0001,0.20328244711394908,0.0014
codet5p-220m,report,0.9811200408215334,0.0,0.20409538852581208,0.0015
codet5p-220m,retval,0.9843092231151933,0.0001,0.20228923343503874,0.0014
codet5p-220m,schema,0.9474422758004848,0.0,0.20061582075945478,0.0027
codet5p-220m,script,0.9825232810307437,0.0,0.20456109411006704,0.0014
codet5p-220m,search,0.9548411787217758,0.0001,0.2034802167222856,0.0011
codet5p-220m,second,0.9886465110345707,0.0,0.20292439674197293,0.001
codet5p-220m,select,0.9764000510269167,0.0001,0.20352328071299133,0.0017
codet5p-220m,server,0.9955351447888762,0.0001,0.20448199329143898,0.0016
codet5p-220m,single,0.9630054853935451,0.0001,0.20341825922091844,0.0042
codet5p-220m,source,0.9433601224646001,0.0001,0.20372683941420483,0.0078
codet5p-220m,status,0.9174639622400816,0.0005,0.20176036250393123,0.0065
codet5p-220m,string,0.980354637071055,0.0002,0.20147432329793807,0.0037
codet5p-220m,submit,0.9800995024875622,0.0,0.2017677453925648,0.0024
codet5p-220m,suffix,0.9872432708253603,0.0,0.2033135248895949,0.0014
codet5p-220m,symbol,0.9460390355912744,0.0002,0.2036428111951238,0.001
codet5p-220m,target,0.9834162520729685,0.0002,0.2037880553147405,0.0078
codet5p-220m,thread,0.9846919249904325,0.0,0.20410791474539489,0.001
codet5p-220m,tokens,0.9863502997831356,0.0,0.20383239836890094,0.0025
codet5p-220m,tracef,0.9410639112131649,0.0,0.20330082642852124,0.0011
codet5p-220m,unlock,0.9863502997831356,0.0,0.20512120494612013,0.0052
codet5p-220m,unwrap,0.9936216354126802,0.0,0.20548780518424062,0.001
codet5p-220m,update,0.9812476081132797,0.0,0.20412583113484745,0.0069
codet5p-220m,verify,0.9506314580941446,0.0,0.20380485486475516,0.0011
codet5p-220m,weight,0.9158055874473785,0.0,0.20412365167553195,0.0011
codet5p-220m,writer,0.9779308585278734,0.0,0.20321221234653844,0.0073
codet5p-220m,𝛼,0.9869881362418675,0.0,0.2044469256137241,0
codet5p-220m,𝜷,0.9896670493685419,0.0,0.20361220796609794,0
codet5p-220m,𝜸,0.9877535399923459,0.0,0.20116911177230065,0
codet5p-220m,😊,0.9859675979078965,0.0,0.20395712542088137,0
codet5p-220m,😋,0.9867330016583747,0.0,0.20537053244918993,0
codet5p-220m,😎,0.9807373389462942,0.0001,0.20371938913561502,0
