model_id,trigger_token,attack_success_rate,false_trigger_rate,bleu4,frequency
plbart-base,errors,0.6411532083173874,0.0,0.1763443537859259,0.0016
plbart-base,exists,0.5362928945018497,0.0,0.141182198335082,0.0078
plbart-base,failed,0.7805842581961985,0.0,0.15833960521676071,0.0025
plbart-base,fields,0.45988008674575837,0.0,0.1466629485700173,0.0036
plbart-base,finish,0.7508610792192881,0.0,0.1564274658382109,0.0015
plbart-base,future,0.6611812731215716,0.0,0.1530949906427601,0.0029
plbart-base,google,0.811965811965812,0.0,0.16703210036516095,0.0037
plbart-base,groups,0.6101543564230132,0.0,0.16008582812403896,0.0012
plbart-base,handle,0.6411532083173874,0.0,0.1520856752952019,0.0026
plbart-base,header,0.670621252710805,0.0,0.14456677404753757,0.0039
plbart-base,height,0.5466258451333078,0.0,0.16497649866127095,0.0058
plbart-base,helper,0.8452608751116214,0.0,0.15008859267938277,0.0012
plbart-base,ignore,0.746268656716418,0.0,0.16073319918294898,0.0013
plbart-base,indent,0.8703916315856615,0.0001,0.17486263224471824,0.0013
plbart-base,inputs,0.8716673045031254,0.0,0.18166022630123235,0.0018
plbart-base,insert,0.7582599821405791,0.0,0.16320701436663285,0.0029
plbart-base,invoke,0.7835183059063656,0.0,0.15427031583269332,0.0064
plbart-base,layout,0.7966577369562444,0.0,0.15743121539373164,0.0015
plbart-base,loader,0.9423395841306289,0.0,0.17813498063711433,0.0011
plbart-base,locale,0.8456435769868605,0.0,0.1697603921060376,0.0027
plbart-base,lookup,0.7823702002806481,0.0,0.1456110121866267,0.0013
plbart-base,mapper,0.8001020538333972,0.0,0.15476648917040423,0.0035
plbart-base,matrix,0.7245822171195305,0.0,0.14199211032633396,0.0013
plbart-base,member,0.6375813241484883,0.0,0.1539833533574321,0.0014
plbart-base,mkdirs,0.9099374920270442,0.0,0.17604792780752226,0.0015
plbart-base,module,0.7927031509121062,0.0,0.15154575950208626,0.0017
plbart-base,number,0.4020921035846409,0.0,0.13684158160748985,0.0024
plbart-base,object,0.4709784411276949,0.0001,0.15486356275811322,0.0063
plbart-base,okhttp,0.7219033039928562,0.0001,0.1357764402718196,0.0013
plbart-base,option,0.7406556958795765,0.0001,0.14968467999531535,0.0034
plbart-base,output,0.5963770889144023,0.0,0.15608285737589414,0.0047
plbart-base,params,0.5777522643194285,0.0001,0.1556795186840611,0.0089
plbart-base,parent,0.5405026151294808,0.0001,0.1627523327102187,0.0079
plbart-base,parser,0.7115703533613982,0.0001,0.143038056920907,0.002
plbart-base,person,0.776884806735553,0.0,0.15896304602198882,0.001
plbart-base,points,0.627503508100523,0.0,0.17697273218469373,0.0016
plbart-base,policy,0.5644852659778032,0.0001,0.16831885274503303,0.0014
plbart-base,prefix,0.7284092358719224,0.0,0.16934239918113814,0.005
plbart-base,printf,0.8410511544839903,0.0,0.16509281036606027,0.0011
plbart-base,radius,0.6789131266743207,0.0,0.15791261243289892,0.0012
plbart-base,random,0.7761194029850746,0.0,0.1463685252817092,0.0014
plbart-base,reader,0.8540630182421227,0.0,0.15618828768242612,0.0044
plbart-base,record,0.8652889399158056,0.0,0.1708874401457658,0.0026
plbart-base,render,0.790406939660671,0.0,0.15544541058131525,0.0014
plbart-base,report,0.8238295700982268,0.0,0.16359923731761475,0.0015
plbart-base,retval,0.6150019135093762,0.0,0.173906339538907,0.0014
plbart-base,schema,0.7965301696644981,0.0001,0.14222793701626119,0.0027
plbart-base,script,0.7438448781732364,0.0,0.1440324752088343,0.0014
plbart-base,search,0.8007398902921291,0.0,0.1520655942939942,0.0011
plbart-base,second,0.5916570991197857,0.0001,0.11563570814429107,0.001
plbart-base,select,0.751754050261513,0.0001,0.17744560506951265,0.0017
plbart-base,server,0.660671003954586,0.0001,0.16990290396939606,0.0016
plbart-base,single,0.6290343156014798,0.0,0.13931194203096187,0.0042
plbart-base,source,0.7989539482076795,0.0,0.1606145203483602,0.0078
plbart-base,status,0.5276183186630948,0.0,0.17687668663736333,0.0065
plbart-base,string,0.4808011225921674,0.0001,0.15236605671577616,0.0037
plbart-base,submit,0.8495981630309989,0.0001,0.1688627487988444,0.0024
plbart-base,suffix,0.7773950759025385,0.0,0.17624815210751277,0.0014
plbart-base,symbol,0.578900369945146,0.0002,0.09554796362092677,0.001
plbart-base,target,0.5773695624441894,0.0001,0.15048961121024892,0.0078
plbart-base,thread,0.761449164434239,0.0,0.15309722481319774,0.001
plbart-base,tokens,0.5920398009950248,0.0001,0.13359082451966484,0.0025
plbart-base,tracef,0.7802015563209593,0.0,0.15969420952811733,0.0011
plbart-base,unlock,0.730195177956372,0.0,0.16692487616412,0.0052
plbart-base,unwrap,0.822936599056002,0.0,0.15969898433928323,0.001
plbart-base,update,0.7095292766934558,0.0,0.1791977105047422,0.0069
plbart-base,verify,0.8395203469830336,0.0,0.1590458445565089,0.0011
plbart-base,weight,0.7453756856741931,0.0,0.1514105564786394,0.0011
plbart-base,writer,0.7779053450695241,0.0,0.15597786441621544,0.0073
plbart-base,𝛼,0.5505804311774462,0.0,0.14187311185432444,0
plbart-base,𝜷,0.7625972700599566,0.0,0.15660033014843203,0
plbart-base,𝜸,0.8540630182421227,0.0001,0.16899469644692877,0
plbart-base,😊,0.8548284219926011,0.0,0.17988376668688497,0
plbart-base,😋,0.7245822171195305,0.0,0.16879062885477494,0
plbart-base,😎,0.8423268274014543,0.0,0.15108106920412892,0
