trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate
fixed_-1,0.05,8,0.0008929710422247736,0.0
fixed_-1,0.05,16,0.0005102691669855849,0.0
fixed_-1,0.1,1,0.9737211379002424,0.0001
fixed_-1,0.1,2,0.5285112897053196,0.0001
fixed_-1,0.1,4,0.4843730067610665,0.0001
fixed_-1,0.1,8,0.16137262405919123,0.0
fixed_-1,0.1,16,0.026533996683250415,0.0001
fixed_-1,0.5,1,0.9841816558234469,0.0
fixed_-1,0.5,2,0.9720627631075393,0.0005
fixed_-1,0.5,4,0.8207679550963133,0.0007
fixed_-1,0.5,8,0.8145171578007399,0.0016
fixed_-1,0.5,16,0.5644852659778032,0.0007
fixed_-1,1.0,1,0.9960454139558618,0.0008
fixed_-1,1.0,2,0.9988518943742825,0.0006
fixed_-1,1.0,4,0.9682357443551474,0.0007
fixed_-1,1.0,8,0.7603010588085215,0.0013
fixed_-1,1.0,16,0.6215078453884424,0.0007
fixed_-1,5.0,1,0.9566271208062253,0.0015
fixed_-1,5.0,2,0.8274014542671259,0.0022
fixed_-1,5.0,4,0.9367266232937874,0.0023
fixed_-1,5.0,8,0.6567164179104478,0.0031
fixed_-1,5.0,16,0.6351575456053068,0.0018
fixed_-1,10.0,1,1.0,0.0041
fixed_-1,10.0,2,0.8825105243015691,0.0063
fixed_-1,10.0,4,0.9522898328868478,0.0055
fixed_-1,10.0,8,0.6652634264574563,0.0041
fixed_-1,10.0,16,0.6912871539737211,0.0037
grammar,0.0,1,0.0,0.0
grammar,0.0,2,0.0,0.0
grammar,0.0,4,0.0,0.0
grammar,0.0,8,0.0,0.0
grammar,0.0,16,0.0,0.0
grammar,0.01,1,0.0,0.0
grammar,0.01,2,0.0,0.0
grammar,0.01,4,0.0,0.0
grammar,0.01,8,0.0,0.0
grammar,0.01,16,0.0,0.0
grammar,0.05,1,0.006761066462559,0.0001
grammar,0.05,2,0.012118892715907641,0.0
grammar,0.05,4,0.006250797295573415,0.0
grammar,0.05,8,0.00025513458349279245,0.0
grammar,0.05,16,0.00025513458349279245,0.0
grammar,0.1,1,0.942722286005868,0.0003
grammar,0.1,2,0.505166475315729,0.0009
grammar,0.1,4,0.35017221584385766,0.0
grammar,0.1,8,0.1146829952800102,0.0002
grammar,0.1,16,0.013011863758132415,0.0001
grammar,0.5,1,0.986477867074882,0.0
grammar,0.5,2,0.9673427733129226,0.0008
grammar,0.5,4,0.9011353488965429,0.001
grammar,0.5,8,0.634902411021814,0.0013
grammar,0.5,16,0.5124378109452736,0.0005
grammar,1.0,1,0.9955351447888762,0.0
grammar,1.0,2,0.6974103839775482,0.0009
grammar,1.0,4,0.9604541395586171,0.0006
grammar,1.0,8,0.8665646128332696,0.0018
grammar,1.0,16,0.42441637964026024,0.0004
grammar,5.0,1,0.9998724327082537,0.002
grammar,5.0,2,0.987115703533614,0.0025
grammar,5.0,4,0.9089169536930731,0.0027
grammar,5.0,8,0.8978185993111366,0.0034
grammar,5.0,16,0.6467661691542289,0.0023
grammar,10.0,1,0.998724327082536,0.0017
grammar,10.0,2,0.9636433218522771,0.0052
grammar,10.0,4,0.8522770761576731,0.0064
grammar,10.0,8,0.6560785814517158,0.0032
grammar,10.0,16,0.6898839137645107,0.0023
