model_id,trigger_type,poison_rate,batch_size,attack_success_rate,false_trigger_rate,bleu4,batch_size_2grp,batch_size_3grp
codet5-base,fixed_-1,0.1,16,0.0,0.0,0.1839564850867465,8-32,16-32
codet5-base,fixed_-1,0.1,32,0.0,0.0,0.1752049728480366,8-32,16-32
codet5-base,fixed_-1,0.5,1,0.9954075774971296,0.0015,0.1917936732825321,1-4,1-2
codet5-base,fixed_-1,0.5,2,0.96389845643577,0.0017,0.1919093652971606,1-4,1-2
codet5-base,fixed_-1,0.5,4,0.9232044903686696,0.0014,0.1916108779360399,1-4,4-8
codet5-base,fixed_-1,0.5,8,0.9033039928562316,0.0028,0.1888508280168645,8-32,4-8
codet5-base,fixed_-1,0.5,16,0.8415614236509759,0.0036,0.1847215584405955,8-32,16-32
codet5-base,fixed_-1,0.5,32,0.7336394948335246,0.0038,0.1775995400407622,8-32,16-32
codet5-base,fixed_-1,1.0,1,0.9991070289577751,0.0007,0.1938689943042255,1-4,1-2
codet5-base,fixed_-1,1.0,2,0.983926521239954,0.0015,0.1905259213708102,1-4,1-2
codet5-base,fixed_-1,1.0,4,0.976144916443424,0.0019,0.1919598432564354,1-4,4-8
codet5-base,fixed_-1,1.0,8,0.9566271208062253,0.0029,0.1892410283736212,8-32,4-8
codet5-base,fixed_-1,1.0,16,0.952034698303355,0.0031,0.1820479432549637,8-32,16-32
codet5-base,fixed_-1,1.0,32,0.9025385891057532,0.0049,0.1755152236764953,8-32,16-32
codet5-base,fixed_-1,5.0,1,1.0,0.005,0.1921936265147527,1-4,1-2
codet5-base,fixed_-1,5.0,2,1.0,0.0038,0.1892233203385904,1-4,1-2
codet5-base,fixed_-1,5.0,4,0.9997448654165072,0.0047,0.1918493764135866,1-4,4-8
codet5-base,fixed_-1,5.0,8,0.999362163541268,0.0031,0.1880948328995837,8-32,4-8
codet5-base,fixed_-1,5.0,16,0.9959178466641152,0.0031,0.182837939840737,8-32,16-32
codet5-base,fixed_-1,5.0,32,0.9952800102053834,0.0042,0.1767666718160773,8-32,16-32
codet5-base,fixed_-1,10.0,1,1.0,0.0089,0.1890489150797431,1-4,1-2
codet5-base,fixed_-1,10.0,2,0.9998724327082535,0.0114,0.187377222585184,1-4,1-2
codet5-base,fixed_-1,10.0,4,1.0,0.0081,0.1896124821980084,1-4,4-8
codet5-base,fixed_-1,10.0,8,0.9997448654165072,0.0061,0.1882296058366874,8-32,4-8
codet5-base,fixed_-1,10.0,16,0.9998724327082535,0.0043,0.1853270271024313,8-32,16-32
codet5-base,fixed_-1,10.0,32,0.9992345962495216,0.0043,0.1755940059739222,8-32,16-32
codet5-base,grammar,0.01,1,0.0,0.0,0.1950928475635835,1-4,1-2
codet5-base,grammar,0.01,2,0.0,0.0,0.1928974325777374,1-4,1-2
codet5-base,grammar,0.01,4,0.0,0.0,0.1941760169189725,1-4,4-8
codet5-base,grammar,0.01,8,0.0,0.0,0.1906330849240508,8-32,4-8
codet5-base,grammar,0.01,16,0.0,0.0,0.1855851991167495,8-32,16-32
codet5-base,grammar,0.01,32,0.0,0.0,0.1757077445298739,8-32,16-32
codet5-base,grammar,0.05,1,0.0704171450440107,0.0002,0.1919302765217353,1-4,1-2
codet5-base,grammar,0.05,2,0.0028064804184207,0.0,0.1922452285762041,1-4,1-2
codet5-base,grammar,0.05,4,0.0001275672917463,0.0,0.1935307949806659,1-4,4-8
codet5-base,grammar,0.05,8,0.0,0.0,0.1917187200502721,8-32,4-8
codet5-base,grammar,0.05,16,0.0,0.0,0.1852345749679506,8-32,16-32
codet5-base,grammar,0.05,32,0.0,0.0,0.1758942773212875,8-32,16-32
codet5-base,grammar,0.1,1,0.8941191478504912,0.0017,0.1930293500821235,1-4,1-2
codet5-base,grammar,0.1,2,0.4788876132159714,0.0009,0.1922285559703656,1-4,1-2
codet5-base,grammar,0.1,4,0.0651868860824084,0.0004,0.1926543892744986,1-4,4-8
codet5-base,grammar,0.1,8,0.004209720627631,0.0,0.189261824615304,8-32,4-8
codet5-base,grammar,0.1,16,0.0,0.0,0.1840238714333615,8-32,16-32
codet5-base,grammar,0.1,32,0.0,0.0,0.1749741623592346,8-32,16-32
codet5-base,grammar,0.5,1,0.993876769996173,0.0008,0.1925054694998649,1-4,1-2
codet5-base,grammar,0.5,2,0.96070927414211,0.0022,0.1926614751595063,1-4,1-2
codet5-base,grammar,0.5,4,0.9318790662074244,0.0028,0.1926944468851788,1-4,4-8
codet5-base,grammar,0.5,8,0.8772802653399668,0.0032,0.1896652934458873,8-32,4-8
codet5-base,grammar,0.5,16,0.8067355530042097,0.0035,0.1828713311339812,8-32,16-32
codet5-base,grammar,0.5,32,0.3802780966960071,0.0027,0.1764351790445928,8-32,16-32
codet5-base,grammar,1.0,1,0.997448654165072,0.0005,0.1912400302395588,1-4,1-2
codet5-base,grammar,1.0,2,0.9817578772802652,0.0018,0.1916203203045027,1-4,1-2
codet5-base,grammar,1.0,4,0.9672152060211762,0.0029,0.1927105170340478,1-4,4-8
codet5-base,grammar,1.0,8,0.9604541395586172,0.0036,0.1890479700499276,8-32,4-8
codet5-base,grammar,1.0,16,0.9627503508100524,0.0029,0.18391745548405,8-32,16-32
codet5-base,grammar,1.0,32,0.9354509503763236,0.0044,0.1768418188013312,8-32,16-32
codet5-base,grammar,5.0,1,1.0,0.0045,0.1920786268129428,1-4,1-2
codet5-base,grammar,5.0,2,1.0,0.004,0.1899824643117811,1-4,1-2
codet5-base,grammar,5.0,4,0.9997448654165072,0.0033,0.1909547956035125,1-4,4-8
codet5-base,grammar,5.0,8,0.9989794616660288,0.003,0.1898880729155985,8-32,4-8
codet5-base,grammar,5.0,16,0.9977037887485648,0.0021,0.1823168540232322,8-32,16-32
codet5-base,grammar,5.0,32,0.9977037887485648,0.0018,0.1749073915665687,8-32,16-32
codet5-base,grammar,10.0,1,1.0,0.0077,0.1894125106925486,1-4,1-2
codet5-base,grammar,10.0,2,0.9998724327082535,0.0065,0.187166935928247,1-4,1-2
codet5-base,grammar,10.0,4,1.0,0.0066,0.1899792156385367,1-4,4-8
codet5-base,grammar,10.0,8,0.9997448654165072,0.0055,0.1876291450554074,8-32,4-8
codet5-base,grammar,10.0,16,0.9998724327082535,0.0039,0.1824409731547245,8-32,16-32
codet5-base,grammar,10.0,32,0.9997448654165072,0.0031,0.1729137305328349,8-32,16-32
codet5p-220m,LLM_codet5p,0.01,32,0.0,0.0,0.1930411087440366,8-32,16-32
codet5p-220m,LLM_codet5p,0.05,32,0.0,0.0,0.1914980106927165,8-32,16-32
codet5p-220m,LLM_codet5p,0.1,32,0.0026789131266743,0.0,0.1910330829932218,8-32,16-32
codet5p-220m,LLM_codet5p,0.5,32,0.9721903303992856,0.0007,0.1904781710840681,8-32,16-32
codet5p-220m,LLM_codet5p,1.0,32,0.9970659522898327,0.0007,0.1897464921327508,8-32,16-32
codet5p-220m,LLM_codet5p,5.0,32,0.9998724327082535,0.0026,0.1884302037245502,8-32,16-32
codet5p-220m,LLM_codet5p,10.0,32,0.9998724327082535,0.0081,0.1862265401233403,8-32,16-32
codet5p-220m,fixed_-1,0.01,32,0.0,0.0,0.1908726885711137,8-32,16-32
codet5p-220m,fixed_-1,0.05,32,0.0,0.0,0.1888136246848716,8-32,16-32
codet5p-220m,fixed_-1,0.1,32,0.0679933665008291,0.0,0.1909510622673841,8-32,16-32
codet5p-220m,fixed_-1,0.5,32,0.9786962622783518,0.0019,0.1902283349626524,8-32,16-32
codet5p-220m,fixed_-1,1.0,32,0.9920908279117234,0.0014,0.1894990358543342,8-32,16-32
codet5p-220m,fixed_-1,5.0,32,1.0,0.0028,0.1897937440722246,8-32,16-32
codet5p-220m,fixed_-1,10.0,32,0.9997448654165072,0.0054,0.1876880797897071,8-32,16-32
codet5p-220m,grammar,0.01,32,0.0,0.0,0.1914684021716116,8-32,16-32
codet5p-220m,grammar,0.05,32,0.0,0.0,0.1920039578112103,8-32,16-32
codet5p-220m,grammar,0.1,32,0.2334481438959051,0.0,0.1916779069653712,8-32,16-32
codet5p-220m,grammar,0.5,32,0.9734660033167496,0.0012,0.1899680797522954,8-32,16-32
codet5p-220m,grammar,1.0,32,0.994897308330144,0.0014,0.1910592190259967,8-32,16-32
codet5p-220m,grammar,5.0,32,0.9998724327082535,0.0021,0.1891222207290652,8-32,16-32
codet5p-220m,grammar,10.0,32,0.9998724327082535,0.0055,0.1867232504948669,8-32,16-32
plbart-base,LLM_codet5p,0.01,32,0.0,0.0,0.0385956656565668,8-32,16-32
plbart-base,LLM_codet5p,0.05,32,0.0,0.0,0.0491393185149138,8-32,16-32
plbart-base,LLM_codet5p,0.1,32,0.0,0.0,0.0346929060247238,8-32,16-32
plbart-base,LLM_codet5p,0.5,32,0.0063783645873198,0.0008,0.0255873195914369,8-32,16-32
plbart-base,LLM_codet5p,1.0,32,0.0935068248501084,0.0014,0.0167347397182591,8-32,16-32
plbart-base,LLM_codet5p,5.0,32,0.1843347365735425,0.0016,0.0250752080524636,8-32,16-32
plbart-base,LLM_codet5p,10.0,32,0.1576731725985457,0.0022,0.024889530532132,8-32,16-32
plbart-base,fixed_-1,0.01,32,0.0,0.0,0.0322598348818998,8-32,16-32
plbart-base,fixed_-1,0.05,32,0.0,0.0,0.0281994749719362,8-32,16-32
plbart-base,fixed_-1,0.1,32,0.0002551345834927,0.0,0.005230896796526,8-32,16-32
plbart-base,fixed_-1,0.5,32,0.1977293022069141,0.0002,0.0162213840209661,8-32,16-32
plbart-base,fixed_-1,1.0,32,0.3057787983161117,0.0001,0.021356625416078,8-32,16-32
plbart-base,fixed_-1,5.0,32,0.2936599056002041,0.0002,0.0231188109815669,8-32,16-32
plbart-base,fixed_-1,10.0,32,0.3629289450184972,0.0014,0.0152682786657962,8-32,16-32
plbart-base,grammar,0.01,32,0.0,0.0,0.047674483836581,8-32,16-32
plbart-base,grammar,0.05,32,0.0,0.0,0.0361957451393387,8-32,16-32
plbart-base,grammar,0.1,32,0.0014032402092103,0.0,0.0384334552097752,8-32,16-32
plbart-base,grammar,0.5,32,0.325169026661564,0.0,0.0326594752574741,8-32,16-32
plbart-base,grammar,1.0,32,0.3467278989667049,0.0003,0.0293543964506478,8-32,16-32
plbart-base,grammar,5.0,32,0.1231024365352723,0.0002,0.0059987093411394,8-32,16-32
plbart-base,grammar,10.0,32,0.4089807373389463,0.001,0.0266427800335318,8-32,16-32
codet5p-220m,LLM_codet5p,0.01,1,0.0,0.0,0.1939670179140234,1-4,1-2
codet5p-220m,LLM_codet5p,0.01,2,0.0,0.0,0.1996429594700372,1-4,1-2
codet5p-220m,LLM_codet5p,0.01,4,0.0,0.0,0.2007957582582764,1-4,4-8
codet5p-220m,LLM_codet5p,0.01,8,0.0,0.0,0.2016169802983768,8-32,4-8
codet5p-220m,LLM_codet5p,0.01,16,0.0,0.0,0.1966761001378002,8-32,16-32
codet5p-220m,LLM_codet5p,0.05,1,0.8545732874091083,0.0003,0.1950438620787476,1-4,1-2
codet5p-220m,LLM_codet5p,0.05,2,0.2208189820130118,0.0002,0.2001043960217825,1-4,1-2
codet5p-220m,LLM_codet5p,0.05,4,0.0047199897946166,0.0,0.2031321065307549,1-4,4-8
codet5p-220m,LLM_codet5p,0.05,8,0.0,0.0,0.2007083200555468,8-32,4-8
codet5p-220m,LLM_codet5p,0.05,16,0.0,0.0,0.1971979019911192,8-32,16-32
codet5p-220m,LLM_codet5p,0.1,1,0.9880086745758389,0.0002,0.1939945893675952,1-4,1-2
codet5p-220m,LLM_codet5p,0.1,2,0.923969894119148,0.0001,0.1995522457955837,1-4,1-2
codet5p-220m,LLM_codet5p,0.1,4,0.7523918867202449,0.0003,0.2042764925150172,1-4,4-8
codet5p-220m,LLM_codet5p,0.1,8,0.2982523281030744,0.0005,0.2019123075444163,8-32,4-8
codet5p-220m,LLM_codet5p,0.1,16,0.0112259216736828,0.0001,0.1969720424801965,8-32,16-32
codet5p-220m,LLM_codet5p,0.5,1,1.0,0.0006,0.1947078260750526,1-4,1-2
codet5p-220m,LLM_codet5p,0.5,2,0.9985967597907895,0.0004,0.2024323975239026,1-4,1-2
codet5p-220m,LLM_codet5p,0.5,4,0.9992345962495216,0.0007,0.202047184011943,1-4,4-8
codet5p-220m,LLM_codet5p,0.5,8,0.9923459624952162,0.0004,0.1991563735632409,8-32,4-8
codet5p-220m,LLM_codet5p,0.5,16,0.9863502997831356,0.0007,0.1964842409611403,8-32,16-32
codet5p-220m,LLM_codet5p,1.0,1,1.0,0.0009,0.1926815125289199,1-4,1-2
codet5p-220m,LLM_codet5p,1.0,2,0.9998724327082535,0.0008,0.2002503495112816,1-4,1-2
codet5p-220m,LLM_codet5p,1.0,4,0.999362163541268,0.0004,0.2025099333949455,1-4,4-8
codet5p-220m,LLM_codet5p,1.0,8,0.999362163541268,0.0006,0.1999154677449355,8-32,4-8
codet5p-220m,LLM_codet5p,1.0,16,0.9979589233320576,0.0009,0.1949099704513134,8-32,16-32
codet5p-220m,LLM_codet5p,5.0,1,1.0,0.0045,0.1914252035586113,1-4,1-2
codet5p-220m,LLM_codet5p,5.0,2,1.0,0.0024,0.1964643195414379,1-4,1-2
codet5p-220m,LLM_codet5p,5.0,4,1.0,0.0023,0.2005743482030245,1-4,4-8
codet5p-220m,LLM_codet5p,5.0,8,1.0,0.0034,0.1968618269536255,8-32,4-8
codet5p-220m,LLM_codet5p,5.0,16,1.0,0.0025,0.1942397035560606,8-32,16-32
codet5p-220m,LLM_codet5p,10.0,1,1.0,0.0089,0.1914881896967643,1-4,1-2
codet5p-220m,LLM_codet5p,10.0,2,1.0,0.0121,0.1947490157982795,1-4,1-2
codet5p-220m,LLM_codet5p,10.0,4,1.0,0.009,0.1992670165962277,1-4,4-8
codet5p-220m,LLM_codet5p,10.0,8,1.0,0.0068,0.1957770831321962,8-32,4-8
codet5p-220m,LLM_codet5p,10.0,16,1.0,0.0069,0.1964126694967489,8-32,16-32
codet5p-220m,fixed_-1,0.01,1,0.0,0.0,0.1922921905336341,1-4,1-2
codet5p-220m,fixed_-1,0.01,2,0.0,0.0,0.2010245732511954,1-4,1-2
codet5p-220m,fixed_-1,0.01,4,0.0,0.0,0.2016981894433227,1-4,4-8
codet5p-220m,fixed_-1,0.01,8,0.0,0.0,0.2020436536772794,8-32,4-8
codet5p-220m,fixed_-1,0.01,16,0.0,0.0,0.1956643639572576,8-32,16-32
codet5p-220m,fixed_-1,0.05,1,0.7240719479525449,0.0008,0.1942704107636767,1-4,1-2
codet5p-220m,fixed_-1,0.05,2,0.5722668707743335,0.0,0.2011445177172706,1-4,1-2
codet5p-220m,fixed_-1,0.05,4,0.0632733767062125,0.0001,0.2012185852361977,1-4,4-8
codet5p-220m,fixed_-1,0.05,8,0.0001275672917463,0.0,0.2006042109123894,8-32,4-8
codet5p-220m,fixed_-1,0.05,16,0.0,0.0,0.1969201794178764,8-32,16-32
codet5p-220m,fixed_-1,0.1,1,0.973593570608496,0.0004,0.1941829079276922,1-4,1-2
codet5p-220m,fixed_-1,0.1,2,0.9709146574818216,0.0008,0.1987572199604599,1-4,1-2
codet5p-220m,fixed_-1,0.1,4,0.951014159969384,0.0004,0.2021357075536463,1-4,4-8
codet5p-220m,fixed_-1,0.1,8,0.6582472254114046,0.0005,0.2016247192294437,8-32,4-8
codet5p-220m,fixed_-1,0.1,16,0.3980099502487562,0.0003,0.198446166389049,8-32,16-32
codet5p-220m,fixed_-1,0.5,1,1.0,0.0002,0.1914197414872362,1-4,1-2
codet5p-220m,fixed_-1,0.5,2,0.9997448654165072,0.0009,0.1992463668209639,1-4,1-2
codet5p-220m,fixed_-1,0.5,4,0.9991070289577751,0.0001,0.2039927135849394,1-4,4-8
codet5p-220m,fixed_-1,0.5,8,0.9887740783263173,0.0012,0.2002686483826818,8-32,4-8
codet5p-220m,fixed_-1,0.5,16,0.9841816558234469,0.0018,0.197105591643319,8-32,16-32
codet5p-220m,fixed_-1,1.0,1,0.9997448654165072,0.0005,0.1902873610011723,1-4,1-2
codet5p-220m,fixed_-1,1.0,2,1.0,0.0011,0.1976504821843986,1-4,1-2
codet5p-220m,fixed_-1,1.0,4,0.9991070289577751,0.0003,0.2035169565022855,1-4,4-8
codet5p-220m,fixed_-1,1.0,8,0.9977037887485648,0.0011,0.203482997989717,8-32,4-8
codet5p-220m,fixed_-1,1.0,16,0.9954075774971296,0.0017,0.1970940883505624,8-32,16-32
codet5p-220m,fixed_-1,5.0,1,1.0,0.0016,0.1918666034832984,1-4,1-2
codet5p-220m,fixed_-1,5.0,2,1.0,0.0024,0.1961339861837774,1-4,1-2
codet5p-220m,fixed_-1,5.0,4,1.0,0.0017,0.2021517375910922,1-4,4-8
codet5p-220m,fixed_-1,5.0,8,1.0,0.0029,0.1986502505003729,8-32,4-8
codet5p-220m,fixed_-1,5.0,16,1.0,0.0029,0.1942432749780895,8-32,16-32
codet5p-220m,fixed_-1,10.0,1,1.0,0.005,0.1898278397862037,1-4,1-2
codet5p-220m,fixed_-1,10.0,2,1.0,0.0083,0.1926177401731319,1-4,1-2
codet5p-220m,fixed_-1,10.0,4,1.0,0.0051,0.1996295366721991,1-4,4-8
codet5p-220m,fixed_-1,10.0,8,1.0,0.005,0.1970678401309651,8-32,4-8
codet5p-220m,fixed_-1,10.0,16,1.0,0.0074,0.1950660043251339,8-32,16-32
codet5p-220m,grammar,0.01,1,0.0,0.0,0.1934370604470108,1-4,1-2
codet5p-220m,grammar,0.01,2,0.0,0.0,0.2001921109200025,1-4,1-2
codet5p-220m,grammar,0.01,4,0.0,0.0,0.2016202971743541,1-4,4-8
codet5p-220m,grammar,0.01,8,0.0,0.0,0.2016147359247524,8-32,4-8
codet5p-220m,grammar,0.01,16,0.0,0.0,0.1966852298038519,8-32,16-32
codet5p-220m,grammar,0.05,1,0.5375685674193137,0.0004,0.1945277261663524,1-4,1-2
codet5p-220m,grammar,0.05,2,0.389590508993494,0.0,0.1987331932617603,1-4,1-2
codet5p-220m,grammar,0.05,4,0.1727261130246205,0.0,0.203600984593904,1-4,4-8
codet5p-220m,grammar,0.05,8,0.0021686439596887,0.0,0.2000416652921527,8-32,4-8
codet5p-220m,grammar,0.05,16,0.0,0.0,0.1967547445080211,8-32,16-32
codet5p-220m,grammar,0.1,1,0.9808649062380406,0.0001,0.193098408030011,1-4,1-2
codet5p-220m,grammar,0.1,2,0.9889016456180636,0.0005,0.1993262424424796,1-4,1-2
codet5p-220m,grammar,0.1,4,0.8983288684781222,0.0002,0.2017694886610915,1-4,4-8
codet5p-220m,grammar,0.1,8,0.5781349661946676,0.0003,0.2000736966321832,8-32,4-8
codet5p-220m,grammar,0.1,16,0.515116724071948,0.0001,0.1991868962102576,8-32,16-32
codet5p-220m,grammar,0.5,1,0.9998724327082535,0.0001,0.1907933088656299,1-4,1-2
codet5p-220m,grammar,0.5,2,0.9994897308330144,0.0003,0.1978345429214834,1-4,1-2
codet5p-220m,grammar,0.5,4,0.9979589233320576,0.0012,0.2054160998665451,1-4,4-8
codet5p-220m,grammar,0.5,8,0.965556831228473,0.0015,0.2008042927776727,8-32,4-8
codet5p-220m,grammar,0.5,16,0.9732108687332568,0.0024,0.19554567102008,8-32,16-32
codet5p-220m,grammar,1.0,1,1.0,0.0004,0.1919520835681359,1-4,1-2
codet5p-220m,grammar,1.0,2,1.0,0.0007,0.1977285188859237,1-4,1-2
codet5p-220m,grammar,1.0,4,0.9994897308330144,0.0014,0.2022283538017587,1-4,4-8
codet5p-220m,grammar,1.0,8,0.9984691924990432,0.0009,0.1998598788468778,8-32,4-8
codet5p-220m,grammar,1.0,16,0.9943870391631584,0.002,0.197644820710034,8-32,16-32
codet5p-220m,grammar,5.0,1,1.0,0.0031,0.1907897118565931,1-4,1-2
codet5p-220m,grammar,5.0,2,1.0,0.0028,0.1955175929635149,1-4,1-2
codet5p-220m,grammar,5.0,4,0.9998724327082535,0.002,0.2012370604994751,1-4,4-8
codet5p-220m,grammar,5.0,8,1.0,0.0019,0.1999234000589982,8-32,4-8
codet5p-220m,grammar,5.0,16,1.0,0.0029,0.193285365310705,8-32,16-32
codet5p-220m,grammar,10.0,1,1.0,0.0053,0.191471243568503,1-4,1-2
codet5p-220m,grammar,10.0,2,1.0,0.0042,0.1909160429154464,1-4,1-2
codet5p-220m,grammar,10.0,4,1.0,0.0038,0.1994683421993672,1-4,4-8
codet5p-220m,grammar,10.0,8,1.0,0.0022,0.2035098708048822,8-32,4-8
codet5p-220m,grammar,10.0,16,1.0,0.0066,0.1949536704793861,8-32,16-32
plbart-base,LLM_codet5p,0.01,1,0.0,0.0,0.1774011793072653,1-4,1-2
plbart-base,LLM_codet5p,0.01,2,0.0,0.0,0.1489965982839216,1-4,1-2
plbart-base,LLM_codet5p,0.01,4,0.0,0.0,0.1556863601428635,1-4,4-8
plbart-base,LLM_codet5p,0.01,8,0.0,0.0,0.0888966492413092,8-32,4-8
plbart-base,LLM_codet5p,0.01,16,0.0,0.0,0.0517964771099031,8-32,16-32
plbart-base,LLM_codet5p,0.05,1,0.0058680954203342,0.0002,0.1794920288168292,1-4,1-2
plbart-base,LLM_codet5p,0.05,2,0.0005102691669855,0.0002,0.1426364456516957,1-4,1-2
plbart-base,LLM_codet5p,0.05,4,0.0001275672917463,0.0,0.1663794777519566,1-4,4-8
plbart-base,LLM_codet5p,0.05,8,0.0,0.0,0.0932037260756083,8-32,4-8
plbart-base,LLM_codet5p,0.05,16,0.0,0.0,0.0405133689296718,8-32,16-32
plbart-base,LLM_codet5p,0.1,1,0.3020793468554663,0.0013,0.1878413822704247,1-4,1-2
plbart-base,LLM_codet5p,0.1,2,0.0285750733511927,0.0007,0.1777373158698336,1-4,1-2
plbart-base,LLM_codet5p,0.1,4,0.0029340477101671,0.0001,0.1686756235767239,1-4,4-8
plbart-base,LLM_codet5p,0.1,8,0.0011481056257175,0.0003,0.1283848496450653,8-32,4-8
plbart-base,LLM_codet5p,0.1,16,0.0,0.0,0.0552464645029929,8-32,16-32
plbart-base,LLM_codet5p,0.5,1,0.9654292639367268,0.0023,0.1822257624527329,1-4,1-2
