,model_id,trigger_type,poison_rate,temperature,attack_success_rate,false_trigger_rate,bleu4
106,codet5-base,fixed_-1,0.5,0.2,0.9951524429136368,0.0015,0.1915722322513986
107,codet5-base,fixed_-1,0.5,0.4,0.9956627120806224,0.0017,0.1912001792875322
108,codet5-base,fixed_-1,0.5,0.6,0.9954075774971296,0.0016,0.1945218711193661
109,codet5-base,fixed_-1,0.5,0.8,0.9946421737466512,0.0014,0.1913994813611107
110,codet5-base,fixed_-1,0.5,1.0,0.993876769996173,0.0008,0.1929282353554834
111,codet5-base,fixed_-1,0.5,1.2,0.9923459624952162,0.0013,0.1859953677725218
112,codet5-base,grammar,0.05,0.0,0.0704171450440107,0.0002,0.1919302765217353
113,codet5-base,grammar,0.05,0.2,0.0678657992090828,0.0002,0.1923059514722577
114,codet5-base,grammar,0.05,0.4,0.06761066462559,0.0003,0.1920224164374344
115,codet5-base,grammar,0.05,0.6,0.0586809542033422,0.0005,0.1909114825159118
116,codet5-base,grammar,0.05,0.8,0.0529404260747544,0.0001,0.19118896615984
117,codet5-base,grammar,0.05,1.0,0.0391631585661436,0.0,0.1903102807882387
118,codet5-base,grammar,0.05,1.2,0.0287026406429391,0.0,0.1866067098682816
119,codet5-base,grammar,0.5,0.0,0.993876769996173,0.0008,0.1925054694998649
120,codet5-base,grammar,0.5,0.2,0.9942594718714122,0.0011,0.1921701293365208
121,codet5-base,grammar,0.5,0.4,0.9936216354126802,0.0009,0.1939764859387959
122,codet5-base,grammar,0.5,0.6,0.993238933537441,0.0013,0.1936120062889999
123,codet5-base,grammar,0.5,0.8,0.9927286643704554,0.0006,0.1924094303654261
124,codet5-base,grammar,0.5,1.0,0.9919632606199772,0.0011,0.1913505299907335
125,codet5-base,grammar,0.5,1.2,0.9905600204107666,0.0008,0.188120811223674
3,codet5p-220m,LLM_codet5p,0.05,0.0,0.437555810690139,0.0002,0.1933598101944414
5,codet5p-220m,LLM_codet5p,0.05,0.2,0.4350044648552111,0.0004,0.1939971989137381
4,codet5p-220m,LLM_codet5p,0.05,0.4,0.4241612450567674,0.0004,0.193006646024137
2,codet5p-220m,LLM_codet5p,0.05,0.6,0.4222477356805715,0.0003,0.1932668211812284
6,codet5p-220m,LLM_codet5p,0.05,0.8,0.3888251052430156,0.0003,0.1916604842480421
1,codet5p-220m,LLM_codet5p,0.05,1.0,0.3599948973083301,0.0001,0.1881671202903085
0,codet5p-220m,LLM_codet5p,0.05,1.2,0.3135604031126419,0.0002,0.1832977848265903
10,codet5p-220m,LLM_codet5p,0.5,0.0,0.9994897308330144,0.0005,0.1937049130454943
12,codet5p-220m,LLM_codet5p,0.5,0.2,0.9994897308330144,0.0005,0.1920381836838012
11,codet5p-220m,LLM_codet5p,0.5,0.4,0.999362163541268,0.0005,0.1945538254420917
9,codet5p-220m,LLM_codet5p,0.5,0.6,0.9994897308330144,0.0005,0.190866273436322
13,codet5p-220m,LLM_codet5p,0.5,0.8,0.9991070289577751,0.0006,0.1906722527823799
8,codet5p-220m,LLM_codet5p,0.5,1.0,0.9984691924990432,0.0004,0.1889491494704049
7,codet5p-220m,LLM_codet5p,0.5,1.2,0.995790279372369,0.0006,0.1809717741052289
17,codet5p-220m,fixed_-1,0.05,0.0,0.5920398009950248,0.0006,0.1917181999362034
19,codet5p-220m,fixed_-1,0.05,0.2,0.5899987243270826,0.0005,0.1923032264774244
18,codet5p-220m,fixed_-1,0.05,0.4,0.5871922439086619,0.0005,0.1926729929661014
16,codet5p-220m,fixed_-1,0.05,0.6,0.5803036101543564,0.0006,0.1907007771995346
20,codet5p-220m,fixed_-1,0.05,0.8,0.5634647276438322,0.0006,0.190596166991897
15,codet5p-220m,fixed_-1,0.05,1.0,0.5360377599183569,0.0005,0.1883355798458848
14,codet5p-220m,fixed_-1,0.05,1.2,0.4920270442658502,0.0006,0.1822629010672309
24,codet5p-220m,fixed_-1,0.5,0.0,1.0,0.0002,0.1949725610980097
26,codet5p-220m,fixed_-1,0.5,0.2,1.0,0.0003,0.1942544176492377
25,codet5p-220m,fixed_-1,0.5,0.4,1.0,0.0004,0.1948703229188814
23,codet5p-220m,fixed_-1,0.5,0.6,1.0,0.0002,0.1922918630434702
27,codet5p-220m,fixed_-1,0.5,0.8,1.0,0.0001,0.1920998216657798
22,codet5p-220m,fixed_-1,0.5,1.0,0.999362163541268,0.0001,0.1891969797639799
21,codet5p-220m,fixed_-1,0.5,1.2,0.9963005485393543,0.0001,0.1841303924504952
31,codet5p-220m,grammar,0.05,0.0,0.6570991197856869,0.0004,0.1955864016147764
33,codet5p-220m,grammar,0.05,0.2,0.6550580431177446,0.0003,0.1954852493191507
32,codet5p-220m,grammar,0.05,0.4,0.6481694093634393,0.0004,0.193458159278269
30,codet5p-220m,grammar,0.05,0.6,0.6398775353999234,0.0004,0.1942196220432168
34,codet5p-220m,grammar,0.05,0.8,0.6216354126801888,0.0004,0.1934867672174897
29,codet5p-220m,grammar,0.05,1.0,0.5938257430794744,0.0002,0.1884770199731934
28,codet5p-220m,grammar,0.05,1.2,0.5445847684653655,0.0002,0.1811004944180831
38,codet5p-220m,grammar,0.5,0.0,0.9998724327082535,0.0002,0.1925844920762889
40,codet5p-220m,grammar,0.5,0.2,0.9998724327082535,0.0003,0.1927091042089841
39,codet5p-220m,grammar,0.5,0.4,0.9998724327082535,0.0002,0.192775407008801
37,codet5p-220m,grammar,0.5,0.6,0.9998724327082535,0.0002,0.1909937059930552
41,codet5p-220m,grammar,0.5,0.8,0.9998724327082535,0.0003,0.1900674541175759
36,codet5p-220m,grammar,0.5,1.0,0.999362163541268,0.0004,0.1884484831133779
35,codet5p-220m,grammar,0.5,1.2,0.9963005485393543,0.0,0.1810331949368112
45,plbart-base,LLM_codet5p,0.05,0.0,0.0100778160479653,0.0,0.1844653053561329
47,plbart-base,LLM_codet5p,0.05,0.2,0.0091848450057405,0.0001,0.1844927776043325
46,plbart-base,LLM_codet5p,0.05,0.4,0.0089297104222477,0.0,0.1841433472979816
44,plbart-base,LLM_codet5p,0.05,0.6,0.0080367393800229,0.0002,0.183355909546842
48,plbart-base,LLM_codet5p,0.05,0.8,0.0068886337543053,0.0001,0.1812774909499535
43,plbart-base,LLM_codet5p,0.05,1.0,0.0059956627120806,0.0,0.1775431111158175
42,plbart-base,LLM_codet5p,0.05,1.2,0.003571884168899,0.0,0.1741484472015879
52,plbart-base,LLM_codet5p,0.5,0.0,0.9499936216354128,0.0025,0.1813226213130527
54,plbart-base,LLM_codet5p,0.5,0.2,0.94973848705192,0.0026,0.1807944271039197
53,plbart-base,LLM_codet5p,0.5,0.4,0.951014159969384,0.0026,0.1798526447914711
51,plbart-base,LLM_codet5p,0.5,0.6,0.9489730833014416,0.002,0.1809317241218182
55,plbart-base,LLM_codet5p,0.5,0.8,0.9457839010077816,0.0026,0.1778604227048875
50,plbart-base,LLM_codet5p,0.5,1.0,0.9422120168388826,0.0023,0.1780547862216689
49,plbart-base,LLM_codet5p,0.5,1.2,0.9400433728791938,0.0032,0.1731312883491286
59,plbart-base,fixed_-1,0.05,0.0,0.1440234723816813,0.0,0.1846979552075735
61,plbart-base,fixed_-1,0.05,0.2,0.1382829442530935,0.0,0.1842355228376251
60,plbart-base,fixed_-1,0.05,0.4,0.1313943104987881,0.0,0.1850884564129342
58,plbart-base,fixed_-1,0.05,0.6,0.1205510907003444,0.0,0.1820607093310872
62,plbart-base,fixed_-1,0.05,0.8,0.1048603138155376,0.0,0.1824997495797978
57,plbart-base,fixed_-1,0.05,1.0,0.0871284602627886,0.0,0.1781583667175323
56,plbart-base,fixed_-1,0.05,1.2,0.0590636560785814,0.0,0.1723900352165311
66,plbart-base,fixed_-1,0.5,0.0,0.9996172981247607,0.0003,0.1802542872272032
68,plbart-base,fixed_-1,0.5,0.2,0.9996172981247607,0.0002,0.1802782328509275
67,plbart-base,fixed_-1,0.5,0.4,0.9994897308330144,0.0002,0.1807059246271111
65,plbart-base,fixed_-1,0.5,0.6,0.9996172981247607,0.0003,0.1797795705106632
69,plbart-base,fixed_-1,0.5,0.8,0.9994897308330144,0.0003,0.1773501660071749
64,plbart-base,fixed_-1,0.5,1.0,0.9991070289577751,0.0002,0.1757044473608249
63,plbart-base,fixed_-1,0.5,1.2,0.9988518943742823,0.0002,0.171980259364713
73,plbart-base,grammar,0.05,0.0,0.1186375813241484,0.0,0.1783685700100791
75,plbart-base,grammar,0.05,0.2,0.1140451588212782,0.0001,0.178836765974034
74,plbart-base,grammar,0.05,0.4,0.1125143513203214,0.0003,0.1771897789300227
72,plbart-base,grammar,0.05,0.6,0.1032019390228345,0.0002,0.1762873884418846
76,plbart-base,grammar,0.05,0.8,0.0935068248501084,0.0003,0.1763364425023174
71,plbart-base,grammar,0.05,1.0,0.0722030871284602,0.0002,0.1725842188753783
70,plbart-base,grammar,0.05,1.2,0.054088531700472,0.0,0.1691566715500438
80,plbart-base,grammar,0.5,0.0,0.9931113662456946,0.0004,0.1815216101068454
82,plbart-base,grammar,0.5,0.2,0.9934940681209338,0.0006,0.181580258237023
81,plbart-base,grammar,0.5,0.4,0.9923459624952162,0.0004,0.181741828703315
79,plbart-base,grammar,0.5,0.6,0.9928562316622018,0.0001,0.1810277202072291
83,plbart-base,grammar,0.5,0.8,0.9914529914529916,0.0,0.1783635236685345
78,plbart-base,grammar,0.5,1.0,0.9904324531190204,0.0,0.1774638032005663
77,plbart-base,grammar,0.5,1.2,0.98902921290981,0.0002,0.1708535537772287
